"File","NEF","TIFF","Date Created","Date Modified","File Size","Image Size","Date Shot","Time Zone and Date","Image Quality","Artist","Copyright","Image Comment","Device","Lens","Focal Length","Focus Mode","AF-Area Mode","VR","AF Fine Tune","Aperture","Shutter Speed","Exposure Mode","Exposure Comp.","Exposure Tuning","Metering","ISO Sensitivity","Flash Device","Flash Sync Mode","Flash Mode","White Balance","Color Space","High ISO NR","Long Exposure NR","Active D-Lighting","Image Authentication","Vignette Control","Auto Distortion Control","Picture Control","Base","Quick Adjust","Sharpening","Contrast","Brightness","Saturation","Hue","Filter Effects","Toning","Optimize Image","Color Mode","Tone Comp.","Hue Adjustment","Saturation","Sharpening","Latitude","Longitude","Altitude","Altitude Reference","Heading","UTC","Map Datum","Scene Mode","Keywords"
"rc2fd4a3et","http://193.205.194.113/RAISE/NEF/rc2fd4a3et.NEF","http://193.205.194.113/RAISE/TIFF/rc2fd4a3et.TIF","9/20/2014 15:28","11/7/2011 16:26","20.3 MB","L (4928 x 3264)","26:02.2","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","38mm","AF-A","Auto","ON","OFF","f/4.2","1/13s","Aperture Priority","0EV","","Matrix","ISO 1000","","","","White fluorescent, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","objects; outdoor"
"r10893508t","http://193.205.194.113/RAISE/NEF/r10893508t.NEF","http://193.205.194.113/RAISE/TIFF/r10893508t.TIF","9/20/2014 15:36","10/2/2011 6:39","21.5 MB","L (4928 x 3264)","39:15.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/3.5","1/1000s","Portrait","0EV","","Matrix","Auto (ISO 100)","","","","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","outdoor; people"
"rf90ce5fet","http://193.205.194.113/RAISE/NEF/rf90ce5fet.NEF","http://193.205.194.113/RAISE/TIFF/rf90ce5fet.TIF","9/20/2014 15:38","10/2/2011 6:43","19.0 MB","L (4928 x 3264)","43:42.6","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","36mm","AF-A","Auto","ON","OFF","f/5.6","1/250s","Portrait","0EV","","Matrix","Auto (ISO 100)","Built-in Flash","Front Curtain","i-TTL-BL, 0EV","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","objects; outdoor"
"r9e70c57ft","http://193.205.194.113/RAISE/NEF/r9e70c57ft.NEF","http://193.205.194.113/RAISE/TIFF/r9e70c57ft.TIF","9/20/2014 15:38","10/2/2011 6:43","18.9 MB","L (4928 x 3264)","43:49.9","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","46mm","AF-A","Auto","ON","OFF","f/7.1","1/250s","Portrait","0EV","","Matrix","Auto (ISO 100)","Built-in Flash","Front Curtain","i-TTL-BL, 0EV","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","objects; outdoor"
"r45038867t","http://193.205.194.113/RAISE/NEF/r45038867t.NEF","http://193.205.194.113/RAISE/TIFF/r45038867t.TIF","9/20/2014 15:39","10/2/2011 6:45","19.3 MB","L (4928 x 3264)","45:57.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","50mm","AF-A","Auto","ON","OFF","f/4.8","1/640s","Portrait","0EV","","Matrix","Auto (ISO 100)","","","","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","objects; outdoor"
"rc4c1743ft","http://193.205.194.113/RAISE/NEF/rc4c1743ft.NEF","http://193.205.194.113/RAISE/TIFF/rc4c1743ft.TIF","9/20/2014 15:39","10/2/2011 6:46","19.4 MB","L (4928 x 3264)","46:12.3","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/3.5","1/1000s","Portrait","0EV","","Matrix","Auto (ISO 100)","","","","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","outdoor; people"
"r69899e16t","http://193.205.194.113/RAISE/NEF/r69899e16t.NEF","http://193.205.194.113/RAISE/TIFF/r69899e16t.TIF","9/20/2014 15:39","10/2/2011 6:47","19.0 MB","L (4928 x 3264)","47:08.7","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","26mm","AF-A","Auto","ON","OFF","f/3.8","1/1250s","Portrait","0EV","","Matrix","Auto (ISO 100)","","","","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","objects; outdoor; people"
"rf94e1eb5t","http://193.205.194.113/RAISE/NEF/rf94e1eb5t.NEF","http://193.205.194.113/RAISE/TIFF/rf94e1eb5t.TIF","9/20/2014 15:39","10/2/2011 6:48","21.0 MB","L (4928 x 3264)","48:05.2","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","20mm","AF-A","Auto","ON","OFF","f/8","1/250s","Portrait","0EV","","Matrix","Auto (ISO 100)","Built-in Flash","Front Curtain","i-TTL-BL, 0EV","Auto1, 0, 0","sRGB","ON (Low)","OFF","Auto","","","OFF","[PT] Portrait","[PT] Portrait","-","Auto","0","0","0","0","","","","","","","","","","","","","","","","","objects; outdoor; people"
"r104153eat","http://193.205.194.113/RAISE/NEF/r104153eat.NEF","http://193.205.194.113/RAISE/TIFF/r104153eat.TIF","9/20/2014 15:40","11/1/2011 12:42","17.8 MB","L (4928 x 3264)","42:10.0","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","50mm","AF-A","Auto","ON","OFF","f/22","1/40s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","2","0","1","2","","","","","","","","","","","","","","","","","landscape; outdoor"
"r15c91802t","http://193.205.194.113/RAISE/NEF/r15c91802t.NEF","http://193.205.194.113/RAISE/TIFF/r15c91802t.TIF","9/20/2014 15:40","11/1/2011 13:02","18.2 MB","L (4928 x 3264)","02:27.5","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","18mm","AF-A","Auto","ON","OFF","f/16","1/30s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
"r74f9e349t","http://193.205.194.113/RAISE/NEF/r74f9e349t.NEF","http://193.205.194.113/RAISE/TIFF/r74f9e349t.TIF","9/20/2014 15:40","11/1/2011 13:02","17.9 MB","L (4928 x 3264)","02:40.6","UTC+1, DST:ON","Lossless Compressed RAW (14-bit)","dnductien                           ","DNDUCTIEN                                             ","","Nikon D7000","VR 18-200mm f/3.5-5.6G","27mm","AF-A","Auto","ON","OFF","f/16","1/60s","Aperture Priority","0EV","","Matrix","ISO 200","","","","Cloudy, 0, 0","sRGB","ON (Low)","OFF","OFF","","","OFF","[LS] Landscape","[LS] Landscape","-","9","3","0","1","1","","","","","","","","","","","","","","","","","landscape; outdoor"
